##
## Configuration for Draw.io CSV Import
#
# label: %name%<br><i style="color:gray;">%summary%</i><br><small>Updated: %upload_time%<br>Depth: %depth%</small>
# style: shape=rectangle;html=1;whiteSpace=wrap;rounded=1;fillColor=%color%;strokeColor=#000000;strokeWidth=1;fontColor=#000000;
# connect: {"from": "target_node", "to": "source_name", "style":"endArrow=classic;endFill=1;html=1;fontSize=10;"}
# identity: pythonpackage_id
# namespace: csvimport-
# layout: auto
# nodespacing: 30
# edgespacing: 40
#
## ---- CSV starts below ----
pythonpackage_id,name,summary,upload_time,depth,color,source_name,target_node
dbt-core,dbt-core,"With dbt, data analysts and engineers can build analytics the way engineers build applications.",2025-05-30T17:19:50,0,#FF5733,dbt-core,click
dbt-core,dbt-core,"With dbt, data analysts and engineers can build analytics the way engineers build applications.",2025-05-30T17:19:50,0,#FF5733,dbt-core,networkx
networkx,networkx,Python package for creating and manipulating graphs and networks,2025-05-09T15:49:39,1,#33C1FF,networkx,numpy
networkx,networkx,Python package for creating and manipulating graphs and networks,2025-05-09T15:49:39,1,#33C1FF,networkx,scipy
scipy,scipy,Fundamental algorithms for scientific computing in Python,2022-10-20T00:42:06,2,#33FF57,scipy,asv
asv,asv,Airspeed Velocity: A simple Python history benchmarking tool,2024-08-12T22:58:12,3,#FF33A8,asv,asv-runner
asv,asv,Airspeed Velocity: A simple Python history benchmarking tool,2024-08-12T22:58:12,3,#FF33A8,asv,json5
asv,asv,Airspeed Velocity: A simple Python history benchmarking tool,2024-08-12T22:58:12,3,#FF33A8,asv,pyyaml
asv,asv,Airspeed Velocity: A simple Python history benchmarking tool,2024-08-12T22:58:12,3,#FF33A8,asv,pympler
asv,asv,Airspeed Velocity: A simple Python history benchmarking tool,2024-08-12T22:58:12,3,#FF33A8,asv,tomli
asv,asv,Airspeed Velocity: A simple Python history benchmarking tool,2024-08-12T22:58:12,3,#FF33A8,asv,sphinx-bootstrap-theme
asv,asv,Airspeed Velocity: A simple Python history benchmarking tool,2024-08-12T22:58:12,3,#FF33A8,asv,python-hglib
asv,asv,Airspeed Velocity: A simple Python history benchmarking tool,2024-08-12T22:58:12,3,#FF33A8,asv,asv-bench-memray
asv,asv,Airspeed Velocity: A simple Python history benchmarking tool,2024-08-12T22:58:12,3,#FF33A8,asv,filelock
asv,asv,Airspeed Velocity: A simple Python history benchmarking tool,2024-08-12T22:58:12,3,#FF33A8,asv,selenium
asv,asv,Airspeed Velocity: A simple Python history benchmarking tool,2024-08-12T22:58:12,3,#FF33A8,asv,flaky
asv,asv,Airspeed Velocity: A simple Python history benchmarking tool,2024-08-12T22:58:12,3,#FF33A8,asv,rpy2
scipy,scipy,Fundamental algorithms for scientific computing in Python,2022-10-20T00:42:06,2,#33FF57,scipy,mpmath
mpmath,mpmath,Python library for arbitrary-precision floating-point arithmetic,2025-04-30T07:39:58,3,#FF33A8,mpmath,codecov
scipy,scipy,Fundamental algorithms for scientific computing in Python,2022-10-20T00:42:06,2,#33FF57,scipy,threadpoolctl
scipy,scipy,Fundamental algorithms for scientific computing in Python,2022-10-20T00:42:06,2,#33FF57,scipy,scikit-umfpack
scipy,scipy,Fundamental algorithms for scientific computing in Python,2022-10-20T00:42:06,2,#33FF57,scipy,pooch
pooch,pooch,A friend to fetch your data files,2024-06-06T16:53:44,3,#FF33A8,pooch,platformdirs
pooch,pooch,A friend to fetch your data files,2024-06-06T16:53:44,3,#FF33A8,pooch,requests
pooch,pooch,A friend to fetch your data files,2024-06-06T16:53:44,3,#FF33A8,pooch,tqdm
